Song Name,Artist Name,Release Date (Spotify),Popularity Score (Spotify)
"Swag Se Swagat (From ""Tiger Zinda Hai"")",Neha Bhasin,2020-04-26,9
"Aankh Marey (From ""Simmba"")",Neha Kakkar,2018-12-06,65
Say It Right,Nelly Furtado,2006-01-01,83
"Agua - Music From ""Sponge On The Run"" Movie",Tainy,2023-07-21,10
The Sound of Silence,Disturbed,2015-08-21,73
Eye of the Tiger,Survivor,1985,78
Thriller,Michael Jackson,2008-02-08,76
Don't You Worry Child,Swedish House Mafia,2012-01-01,63
Kala Chashma,Prem,2016-08-04,64
Single Ladies (Put a Ring on It),Beyoncé,2008,71
Djadja,Aya Nakamura,2018-11-02,70
Soltera (Remix),Lunay,2019-10-25,75
Royals,Lorde,2013-09-27,83
Young Dumb & Broke,Khalid,2017-04-27,82
Lucid Dreams,Juice WRLD,2018-12-10,86
HUMBLE.,Kendrick Lamar,2017-04-14,86
Largado As Traças - Acústico,Zé Neto & Cristiano,2018-03-14,60
Africa,TOTO,1982-04-08,86
Saber Quem Sou,Any Gabrielly,2016-12-09,59
Phir Bhi Tumko Chaahunga,Mithoon,2023-05-26,26
MONEY,LISA,2021-09-10,85
Man Down,Rihanna,2010-11-16,72
Creep,Radiohead,1993-02-22,89
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,2018-06-15,75
Bangarang (feat. Sirah),Skrillex,2011-12-27,72
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte),Pitbull,2014-11-21,72
Only Girl (In The World),Rihanna,2010-11-16,74
Shape of You,Ed Sheeran,2017-03-03,88
Trem da Alegria,Yasmin Verissimo,2018-12-31,31
"Adrenalina (In The Style Of Wisin, Jennifer Lopez & Ricky Martin) - Tribute Version",Brava HitMakers,2014-03-26,2
Call Out My Name,The Weeknd,2018-03-30,88
The Nights,Avicii,2014-01-01,87
Butter,BTS,2021-06-04,71
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,2010-05-28,69
Mockingbird,Eminem,2004-11-12,90
Stolen Dance,Milky Chance,2013-05-31,82
Mi Santa (feat. Tomatito),Romeo Santos,2012-08-27,73
Humnava Mere,Jubin Nautiyal,2018-05-23,74
Whatever It Takes,Imagine Dragons,2017-06-23,84
The Monster,Eminem,2013-11-05,81
Sensualidad (feat. Kirsa Moonlight),Mocean,2023-06-02,27
Candy Shop,50 Cent,2005-03-03,83
One Kiss (with Dua Lipa),Calvin Harris,2018-04-06,86
Titliaan,Afsana Khan,2020-11-09,61
goosebumps,Travis Scott,2016-09-16,87
"Prem Ratan Dhan Payo (From ""Prem Ratan Dhan Payo"")",Palak Muchhal,2017-06-07,9
Me Enamoré,Shakira,2017-05-26,68
Te Vas,Ozuna,2017-05-01,63
International Love (feat. Chris Brown),Pitbull,2017-12-01,60
Wildest Dreams,Taylor Swift,2014-01-01,81
Bonbon,Era Istrefi,2016-07-21,59
when the party's over,Billie Eilish,2019-03-29,85
11 PM,Maluma,2019-05-17,77
Send My Love (To Your New Lover),Adele,2015-11-20,76
Firestone - Live Acoustic Version,Kygo,2015-01-30,57
Sweet but Psycho,Ava Max,2020-09-18,86
Smooth Criminal - 2012 Remaster,Michael Jackson,2012-09-18,77
Cuando Te Besé,Becky G,2018-08-02,69
Flor Pálida,Marc Anthony,2013-07-23,74
Dile Que Tu Me Quieres,Ozuna,2017-08-25,77
8 Parche,Baani Sandhu,2019-09-12,67
This Is America,Childish Gambino,2018-05-06,71
"Galti Se Mistake (From ""Jagga Jasoos"")",Pritam,2017-06-13,54
Esperándote,Manuel Turizo,2019-08-23,69
