id,song_name,artist_name,popularity
2sMxswHr9wX7kTUHULvJBJ,Destino o casualidad,Melendi,75
7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,75
2kQuhkFX7uSVepCD3h29g5,Smack That,Akon,87
0INaMqjJJe1BZpnWuCxDzt,Ai Se Eu Te Pego,Michel Teló,63
3W3KtDwAIg3mAruSpnfG3Q,Fancy,Iggy Azalea,70
7BqHUALzNBTanL6OvsqmC1,Happier,Marshmello,85
08bNPGLD8AhKpnnERrAc6G,FRIENDS,Marshmello,80
0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,Dynoro,81
1X9NVfPMpopapXyLoZrSCD,"Happy - From ""Despicable Me 2""",Pharrell Williams,13
2P4OICZRVAQcYAV2JReRfj,Waiting For Love,Avicii,83
456xBIOmLRoLzCvCzZrWge,Safari,J Balvin,72
0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),Post Malone,85
4jDmJ51x1o9NZB5Nxxc7gY,Careless Whisper,George Michael,84
6q8Lb50EtqNeeJXXe8mMAH,Culpables,KAROL G,71
2DGa7iaidT5s0qnINlwMjJ,The Spectre,Alan Walker,78
5HOpkTTVcmZHnthgyxrIL8,The Fox (What Does the Fox Say?),Ylvis,66
7DE0I3buHcns00C0YEsYsY,Filhall,B Praak,68
1OAh8uOEOvTDqkKFsKksCi,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,78
37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,Bon Jovi,87
2t7LjWmKWJV1X59zYaCsvy,Travesuras,Nicky Jam,68
0lYBSQXN6rCTvUZvg9S0lU,Let Me Love You,DJ Snake,86
48UPSzbZjgc449aqz8bxox,Californication,Red Hot Chili Peppers,86
6EgyhIl0800Q6rC2SR3sma,Stay (Made Popular By Rihanna ft. Mikky Ekko) [Vocal Version],Party Tyme Karaoke,8
6KBYefIoo7KydImq1uUQlL,Bodak Yellow,Cardi B,74
5eqiMMbaeUZ32Q7sS00H35,Anaconda,Nicki Minaj,69
5jW3rF4URMdK7tO2xjS5EI,Tal Vez,Paulo Londra,79
0JP9xo3adEtGSdUEISiszL,Moonlight,XXXTENTACION,84
6YZdkObH88npeKrrkb8Ggf,DUELE EL CORAZON (feat. Wisin),Enrique Iglesias,69
