Song Name,Artist Name,Release Date (Spotify),Popularity Score (Spotify),Genre
MIC Drop (Steve Aoki Remix) - Full Length Edition,BTS,2018-08-24,71,"['detroit hip hop', 'hip hop', 'rap']"
Thunderstruck,AC/DC,1990-09-24,85,"['k-pop', 'k-pop boy group', 'pop']"
Can't Feel My Face (In the Style of the Weeknd) [Instrumental Version],The Karaoke Studio,2015-08-10,0,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance']"
Let Me Love You,DJ Snake,2016-08-05,86,['electro house']
When I Was Your Man,Bruno Mars,2012-12-07,90,"['filmi', 'hare krishna', 'modern bollywood']"
Lut Gaye,Jubin Nautiyal,2021-03-19,66,"['dance pop', 'pop']"
"Alone, Pt. II",Alan Walker,2019-12-27,74,['hawaiian']
Over the Rainbow,Israel Kamakawiwo'ole,2017-10-15,64,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
Hips Don't Lie (feat. Wyclef Jean),Shakira,2005-11-28,86,['pop']
AS IF IT’S YOUR LAST - Japanese Version,BLACKPINK,2017-08-29,58,"['k-pop', 'k-pop girl group', 'pop']"
7 rings,Ariana Grande,2019-02-08,85,"['bubblegum dance', 'eurodance', 'europop']"
Photograph,Ed Sheeran,2014-06-21,87,"['glam metal', 'rock']"
Soy una Taza (Versión 2019),CantaJuego,2019-04-17,5,['musica para ninos']
"It's My Life - Recorded Live @ Nokia Theatre Times Square, NYC, September 19, 2005",Bon Jovi,2005-01-01,16,"['latin pop', 'reggaeton', 'urbano latino']"
I Want It That Way,Backstreet Boys,1999-05-18,84,"['boy band', 'dance pop', 'pop']"
Limbo,Daddy Yankee,2012-01-01,76,"['alternative metal', 'nu metal', 'rap metal', 'rock']"
Picky,Joey Montana,2016-09-09,66,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Chop Suey!,System Of A Down,2001-09-04,86,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']"
El Perdón (with Enrique Iglesias),Nicky Jam,2017-01-20,76,"['pop', 'singer-songwriter pop', 'uk pop']"
Nothing Else Matters,Metallica,1991-08-12,82,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
Loyal (feat. Lil Wayne & Tyga),Chris Brown,2014-09-16,76,"['r&b', 'rap']"
Bon Appétit,Katy Perry,2017-06-09,67,"['la pop', ""women's music""]"
Mile Ho Tum,Himesh Reshammiya,2006-07-19,24,['pop']
Elastic Heart,Sia,2014-07-04,80,['reggae fusion']
La La La,Shakira,2014-03-14,47,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
Lost on You,LP,2017-05-05,76,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
Can't Remember to Forget You (feat. Rihanna),Shakira,2014-03-14,70,"['latin pop', 'mexican pop', 'puerto rican pop']"
La Mordidita (feat. Yotuel),Ricky Martin,2015-02-10,69,"['filmi', 'modern bollywood']"
El Perdedor,Maluma,2015-10-30,76,"['filmi', 'modern bollywood']"
Bring Me To Life,Evanescence,2003-03-04,86,"['colombian pop', 'dance pop', 'latin pop', 'pop']"
Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI,2015-10-16,80,['alternative metal']
Dilbar,Neha Kakkar,2018-08-01,57,"['australian dance', 'australian pop', 'pop']"
How Far I'll Go,Auli'i Cravalho,2016-11-18,54,['movie tunes']
Girls Just Want to Have Fun,Cyndi Lauper,1983-10-14,82,"['dance pop', 'new wave pop', 'permanent wave', 'soft rock']"
Rain Over Me (feat. Marc Anthony),Pitbull,2011-06-17,72,"['edm', 'electro house', 'pop dance']"
Nena maldición,Paulo Londra,2023-09-15,7,"['k-pop', 'k-pop boy group', 'pop']"
Otra vez (feat. J Balvin),Zion & Lennox,2016-09-30,80,"['dance pop', 'miami hip hop', 'pop']"
