Title,Most view per day,Most-view-date,Highest rank,Time to Highest rank,Charted-duration,URL id:
Guns N' Roses - Sweet Child O' Mine (Official Music Video),4427126,2022/07/16,187.0,,7.0,1w7OgIMMRc4
Dwayne Johnson - You're Welcome (from Moana/Official Video),2079447,2021/08/14,23.0,,157.0,79DijItQXMM
Arctic Monkeys - Do I Wanna Know? (Official Video),1234545,2013/06/19,50.0,,85.0,bpOSxM0rNPM
PSY - GENTLEMAN M/V,38409306,2013/04/14,1.0,10.0,123.0,ASO_zypdnsQ
"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]",8609222,2018/05/30,3.0,2.0,64.0,xTlNMmZKwpA
Calvin Harris & Disciples - How Deep Is Your Love,3537059,2015/10/17,7.0,,97.0,EgqUJOudrcM
Taylor Swift - Bad Blood ft. Kendrick Lamar,18406324,2015/05/18,2.0,7.0,65.0,QcIy9NiNbmo
PULCINO PIO - El Pollito Pio (Official video),2575967,2013/03/16,3.0,5.0,189.0,dhsy6epaJGs
Carly Rae Jepsen - Call Me Maybe,1999116,2012/09/15,1.0,10.0,178.0,fWNaR-rxAic
52 GAJ KA DAMAN | PRANJAL DAHIYA | AMAN JAJI | RENUKA PANWAR  | MUKESH JAJI | SAHIL SANDHU,9703530,2021/01/17,1.0,3.0,69.0,CZt-rVn2BJs
22. Hasta el Amanecer - Nicky Jam | Video Oficial,7060336,2016/03/19,4.0,,82.0,kkx-7fsiWgg
Shawn Mendes - Stitches (Official Music Video),3747984,2016/03/12,10.0,,81.0,VbfpW0pbvaU
Wisin - Escápate Conmigo (Official Video) ft. Ozuna,6734848,2017/08/26,5.0,,43.0,3X9wEwulYhk
Ellie Goulding - Burn (Official Video),1560023,2013/07/08,10.0,,197.0,CGyEd0aKWZE
"Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video)",5754314,2019/02/26,5.0,,116.0,bo_efYhYU2A
Post Malone - Congratulations ft. Quavo,2786556,2017/06/02,33.0,,71.0,SC4xMk98Pdc
BTS (방탄소년단) 'DNA' Official MV,21096937,2017/09/18,6.0,,152.0,MBdVXkSdhwU
"Vaaste Song: Dhvani Bhanushali, Tanishk Bagchi | Nikhil D | Bhushan Kumar | Radhika Rao, Vinay Sapru",7813659,2019/04/13,4.0,,139.0,BBAyRBTfsOU
Gente de Zona - La Gozadera (Official Video) ft. Marc Anthony,2911400,2016/12/31,36.0,,117.0,VMp55KH_3wo
Charlie Puth - Attention [Official Video],4189903,2017/08/22,16.0,,42.0,nfs8NYg7yQM
BLACKPINK - 'How You Like That' DANCE PERFORMANCE VIDEO,10628928,2020/07/06,3.0,2.0,172.0,32si5cfrCNc
Drake - God's Plan,10053900,2018/02/17,2.0,3.0,38.0,xpVfcZ0ZcFM
Rahat Fateh Ali Khan - Zaroori Tha,1805161,2020/10/31,60.0,,65.0,6-n_szx2XRE
Taylor Swift - You Belong With Me,797673,2020/12/11,7.0,,114.0,VuNIsY6JdUw
HA-ASH - Lo Aprendí de Ti (Primera Fila - Hecho Realidad [En Vivo]),2179004,2019/01/16,130.0,,52.0,Uws510cVia4
"Maari 2 - Rowdy Baby (Video Song) | Dhanush, Sai Pallavi | Yuvan Shankar Raja | Balaji Mohan",6332173,2019/01/02,4.0,,141.0,x6Q7c9RyMzk
Whitney Houston - I Will Always Love You (Official 4K Video),3618985,2012/02/12,4.0,,31.0,3JWTaaS7LdU
Tyga - Taste (Official Video) ft. Offset,4063321,2018/07/27,14.0,,77.0,LjxulQ1bEWg
"Laung Laachi Title Song | Mannat Noor | Ammy Virk, Neeru Bajwa,Amberdeep | Latest Punjabi Song 2018",4120388,2018/07/26,14.0,,95.0,YpkJO_GrCo0
Michael Jackson - Billie Jean (Official Video),1687155,2019/01/16,111.0,,57.0,Zi_XLOBDo_Y
Coldplay - Adventure Of A Lifetime (Official Video),2602735,2016/03/05,19.0,,75.0,QtXby3twMmI
"Enrique Iglesias - SUBEME LA RADIO (Official Video) ft. Descemer Bueno, Zion & Lennox",6337757,2017/06/10,9.0,,53.0,9sg-A-eS6Ig
Katy Perry - Last Friday Night (T.G.I.F.) (Official Music Video),5275896,2011/06/14,1.0,1.0,216.0,KlyXNRrsk4A
Nelly - Dilemma (Official Music Video) ft. Kelly Rowland,1086864,2020/12/19,69.0,,53.0,8WYHDfJDPDc
Beyoncé - Halo,932679,2019/03/08,,,,bnVUHWCynig
One Direction - What Makes You Beautiful (Official Video),1457510,2012/04/21,3.0,2.0,191.0,QJO3ROT-A4E
"Thalia, NATTI NATASHA - No Me Acuerdo (Official Video)",5460514,2018/08/25,8.0,,80.0,iQEVguV71sI
Rick Astley - Never Gonna Give You Up (Official Music Video),2159664,2022/04/01,42.0,,101.0,dQw4w9WgXcQ
BAD BUNNY x DRAKE - MÍA (Video Oficial),10143775,2018/10/12,2.0,1.0,50.0,OSUxrSe5GbI
Imagine Dragons - Radioactive,870007,2017/10/21,29.0,,164.0,ktvTqknDobU
"KAROL G, Nicki Minaj - Tusa (Official Video)",9287779,2020/01/26,1.0,5.0,66.0,tbneQDc2H3I
